ID,fold
ID_train_10097,0
ID_train_10098,2
ID_train_10099,0
ID_train_101,4
ID_train_1010,2
ID_train_10100,1
ID_train_10101,3
ID_train_10102,0
ID_train_10103,1
ID_train_10104,1
ID_train_10105,3
ID_train_10106,4
ID_train_10107,2
ID_train_10108,0
ID_train_10109,4
ID_train_1011,3
ID_train_10110,3
ID_train_10111,2
ID_train_10112,0
ID_train_10113,3
ID_train_10114,0
ID_train_10115,1
ID_train_10116,0
ID_train_10117,2
ID_train_10118,0
ID_train_10119,4
ID_train_1012,4
ID_train_10120,4
ID_train_10121,4
ID_train_10122,1
ID_train_10123,3
ID_train_10124,3
ID_train_10125,2
ID_train_10126,2
ID_train_10127,4
ID_train_10128,4
ID_train_10129,2
ID_train_1013,2
ID_train_10130,2
ID_train_10131,4
ID_train_10132,1
ID_train_10133,3
ID_train_10134,2
ID_train_10135,4
ID_train_10136,3
ID_train_10137,4
ID_train_10138,4
ID_train_10139,0
ID_train_1014,2
ID_train_10140,4
ID_train_10141,4
ID_train_10142,4
ID_train_10143,1
ID_train_10144,3
ID_train_10145,0
ID_train_10146,1
ID_train_10147,3
ID_train_10148,2
ID_train_10149,4
ID_train_1015,4
ID_train_10150,2
ID_train_10151,3
ID_train_10152,3
ID_train_10153,3
ID_train_10154,0
ID_train_10155,0
ID_train_10156,4
ID_train_10157,1
ID_train_10158,1
ID_train_10159,4
ID_train_1016,0
ID_train_10160,1
ID_train_10161,4
ID_train_10162,0
ID_train_10163,0
ID_train_10164,4
ID_train_10165,3
ID_train_10166,3
ID_train_10167,4
ID_train_10168,1
ID_train_10169,3
ID_train_1017,4
ID_train_10170,0
ID_train_10171,1
ID_train_10172,1
ID_train_10173,0
ID_train_10174,3
ID_train_10175,0
ID_train_10176,3
ID_train_10177,1
ID_train_10178,4
ID_train_10179,4
ID_train_1018,1
ID_train_10180,0
ID_train_10181,4
ID_train_10182,4
ID_train_10183,1
ID_train_10184,2
ID_train_10185,2
ID_train_10186,4
ID_train_10187,3
ID_train_10188,4
ID_train_10189,1
ID_train_1019,1
ID_train_10190,4
ID_train_10191,4
ID_train_10192,1
ID_train_10193,4
ID_train_10194,1
ID_train_10195,2
ID_train_10196,0
ID_train_10197,0
ID_train_10198,1
ID_train_10199,4
ID_train_102,2
ID_train_1020,0
ID_train_10200,0
ID_train_10201,2
ID_train_10202,4
ID_train_10203,0
ID_train_10204,0
ID_train_10205,0
ID_train_10206,2
ID_train_10207,2
ID_train_10208,2
ID_train_10209,3
ID_train_1021,4
ID_train_10210,3
ID_train_10211,1
ID_train_10212,1
ID_train_10213,3
ID_train_10214,0
ID_train_10215,2
ID_train_10216,2
ID_train_10217,4
ID_train_10218,0
ID_train_10219,2
ID_train_1022,1
ID_train_10220,2
ID_train_10221,3
ID_train_10222,4
ID_train_10223,1
ID_train_10224,0
ID_train_10225,0
ID_train_10226,1
ID_train_10227,1
ID_train_10228,3
ID_train_10229,1
ID_train_1023,4
ID_train_10230,1
ID_train_10231,3
ID_train_10232,1
ID_train_10233,4
ID_train_10234,3
ID_train_10235,1
ID_train_10236,3
ID_train_10237,4
ID_train_10238,0
ID_train_10239,4
ID_train_1024,4
ID_train_10240,2
ID_train_10241,4
ID_train_10242,4
ID_train_10243,3
ID_train_10244,3
ID_train_10245,4
ID_train_10246,4
ID_train_10247,2
ID_train_10248,3
ID_train_10249,4
ID_train_1025,2
ID_train_10250,2
ID_train_10251,2
ID_train_10252,4
ID_train_10253,3
ID_train_10254,3
ID_train_10255,2
ID_train_10256,0
ID_train_10257,3
ID_train_10258,0
ID_train_10259,0
ID_train_1026,2
ID_train_10260,1
ID_train_10261,2
ID_train_10262,2
ID_train_10263,2
ID_train_10264,0
ID_train_10265,3
ID_train_10266,2
ID_train_10267,0
ID_train_10268,3
ID_train_10269,2
ID_train_1027,2
ID_train_10270,2
ID_train_10271,2
ID_train_10272,1
ID_train_10273,1
ID_train_10274,2
ID_train_10275,0
ID_train_10276,0
ID_train_10277,3
ID_train_10278,2
ID_train_10279,0
ID_train_1028,2
ID_train_10280,0
ID_train_10281,4
ID_train_10282,3
ID_train_10283,2
ID_train_10284,0
ID_train_10285,2
ID_train_10286,1
ID_train_10287,1
ID_train_10288,3
ID_train_10289,4
ID_train_1029,0
ID_train_10290,2
ID_train_10291,2
ID_train_10292,0
ID_train_10293,1
ID_train_10294,3
ID_train_10295,3
ID_train_10296,2
ID_train_10297,3
ID_train_10298,0
ID_train_10299,4
ID_train_103,0
ID_train_1030,4
ID_train_10300,3
ID_train_10301,3
ID_train_10302,3
ID_train_10303,4
ID_train_10304,1
ID_train_10305,0
ID_train_10306,0
ID_train_10307,1
ID_train_10308,2
ID_train_10309,3
ID_train_1031,1
ID_train_10310,4
ID_train_10311,3
ID_train_10312,1
ID_train_10313,0
ID_train_10314,1
ID_train_10315,4
ID_train_10316,0
ID_train_10317,0
ID_train_10318,3
ID_train_10319,4
ID_train_1032,2
ID_train_10320,0
ID_train_10321,3
ID_train_10322,3
ID_train_10323,3
ID_train_10324,4
ID_train_10325,4
ID_train_10326,1
ID_train_10327,4
ID_train_10328,2
ID_train_10329,3
ID_train_1033,3
ID_train_10330,1
ID_train_10331,3
ID_train_10332,3
ID_train_10333,1
ID_train_10334,4
ID_train_10335,4
ID_train_10336,3
ID_train_10337,3
ID_train_10338,1
ID_train_10339,2
ID_train_1034,2
ID_train_10340,2
ID_train_10341,3
ID_train_10342,1
ID_train_10343,3
ID_train_10344,0
ID_train_10345,3
ID_train_10346,3
ID_train_10347,2
ID_train_10348,3
ID_train_10349,2
ID_train_1035,2
ID_train_10350,3
ID_train_10351,3
ID_train_10352,3
ID_train_10353,0
ID_train_10354,4
ID_train_10355,3
ID_train_10356,3
ID_train_10357,1
ID_train_10358,0
ID_train_10359,2
ID_train_1036,3
ID_train_10360,3
ID_train_10361,2
ID_train_10362,2
ID_train_10363,0
ID_train_10364,3
ID_train_10365,1
ID_train_10366,0
ID_train_10367,3
ID_train_10368,4
ID_train_10369,3
ID_train_1037,1
ID_train_10370,0
ID_train_10371,0
ID_train_10372,4
ID_train_10373,3
ID_train_10374,0
ID_train_10375,3
ID_train_10376,0
ID_train_10377,2
ID_train_10378,1
ID_train_10379,1
ID_train_1038,1
ID_train_10380,1
ID_train_10381,3
ID_train_10382,3
ID_train_10383,1
ID_train_10384,1
ID_train_10385,4
ID_train_10386,0
ID_train_10387,0
ID_train_10388,3
ID_train_10389,1
ID_train_1039,0
ID_train_10390,0
ID_train_10391,3
ID_train_10392,0
ID_train_10393,3
ID_train_10394,3
ID_train_10395,0
ID_train_10396,4
ID_train_10397,2
ID_train_10398,1
ID_train_10399,3
ID_train_104,0
ID_train_1040,4
ID_train_10400,4
ID_train_10401,0
ID_train_10402,1
ID_train_10403,2
ID_train_10404,2
ID_train_10405,1
ID_train_10406,2
ID_train_10407,1
ID_train_10408,1
ID_train_10409,3
ID_train_1041,4
ID_train_10410,3
ID_train_10411,3
ID_train_10412,2
ID_train_10413,4
ID_train_10414,0
ID_train_10415,0
ID_train_10416,2
ID_train_10417,1
ID_train_10418,1
ID_train_10419,1
ID_train_1042,3
ID_train_10420,0
ID_train_10421,1
ID_train_10422,1
ID_train_10423,3
ID_train_10424,4
ID_train_10425,3
ID_train_10426,4
ID_train_10427,0
ID_train_10428,4
ID_train_10429,2
ID_train_1043,4
ID_train_10430,3
ID_train_10431,2
ID_train_10432,3
ID_train_10433,0
ID_train_10434,2
ID_train_10435,4
ID_train_10436,1
ID_train_10437,4
ID_train_10438,1
ID_train_10439,4
ID_train_1044,3
ID_train_10440,1
ID_train_10441,3
ID_train_10442,4
ID_train_10443,0
ID_train_10444,4
ID_train_10445,0
ID_train_10446,4
ID_train_10447,1
ID_train_10448,3
ID_train_10449,3
ID_train_1045,0
ID_train_10450,1
ID_train_10451,4
ID_train_10452,1
ID_train_10453,0
ID_train_10454,3
ID_train_10455,1
ID_train_10456,2
ID_train_10457,1
ID_train_10458,3
ID_train_10459,4
ID_train_1046,2
ID_train_10460,1
ID_train_10461,3
ID_train_10462,0
ID_train_10463,2
ID_train_10464,3
ID_train_10465,4
ID_train_10466,3
ID_train_10467,0
ID_train_10468,0
ID_train_10469,0
ID_train_1047,2
ID_train_10470,4
ID_train_10471,1
ID_train_10472,1
ID_train_10473,4
ID_train_10474,3
ID_train_10475,3
ID_train_10476,1
ID_train_10477,0
ID_train_10478,1
ID_train_10479,0
ID_train_1048,2
ID_train_10480,0
ID_train_10481,0
ID_train_10482,1
ID_train_10483,0
ID_train_10484,4
ID_train_10485,2
ID_train_10486,2
ID_train_10487,4
ID_train_10488,1
ID_train_10489,4
ID_train_1049,2
ID_train_10490,3
ID_train_10491,3
ID_train_10492,3
ID_train_10493,2
ID_train_10494,0
ID_train_10495,1
ID_train_10496,1
ID_train_10497,2
ID_train_10498,1
ID_train_10499,0
ID_train_105,4
ID_train_1050,1
ID_train_10500,1
ID_train_10501,3
ID_train_10502,0
ID_train_10503,3
ID_train_10504,4
ID_train_10505,4
ID_train_10506,1
ID_train_10507,2
ID_train_10508,4
ID_train_10509,1
ID_train_1051,2
ID_train_10510,3
ID_train_10511,2
ID_train_10512,2
ID_train_10513,3
ID_train_10514,2
ID_train_10515,2
ID_train_10516,4
ID_train_10517,1
ID_train_10518,1
ID_train_10519,4
ID_train_1052,1
ID_train_10520,3
ID_train_10521,2
ID_train_10522,4
ID_train_10523,4
ID_train_10524,2
ID_train_10525,1
ID_train_10526,0
ID_train_10527,0
ID_train_10528,2
ID_train_10529,0
ID_train_1053,2
ID_train_10530,3
ID_train_10531,2
ID_train_10532,4
ID_train_10533,4
ID_train_10534,3
ID_train_10535,4
ID_train_10536,2
ID_train_10537,3
ID_train_10538,0
ID_train_10539,2
ID_train_1054,1
ID_train_10540,0
ID_train_10541,2
ID_train_10542,0
ID_train_10543,4
ID_train_10544,2
ID_train_10545,2
ID_train_10546,0
ID_train_10547,4
ID_train_10548,2
ID_train_10549,3
ID_train_1055,2
ID_train_10550,1
ID_train_10551,1
ID_train_10552,0
ID_train_10553,4
ID_train_10554,3
ID_train_10555,2
ID_train_10556,2
ID_train_10557,2
ID_train_10558,1
ID_train_10559,3
ID_train_1056,4
ID_train_10560,4
ID_train_10561,2
ID_train_10562,1
ID_train_10563,3
ID_train_10564,4
ID_train_10565,0
ID_train_10566,3
ID_train_10567,0
ID_train_10568,0
ID_train_10569,0
ID_train_1057,3
ID_train_10570,2
ID_train_10571,1
ID_train_10572,1
ID_train_10573,1
ID_train_10574,3
ID_train_10575,2
ID_train_10576,1
ID_train_10577,3
ID_train_10578,0
ID_train_10579,4
ID_train_1058,3
ID_train_10580,2
ID_train_10581,0
ID_train_10582,4
ID_train_10583,0
ID_train_10584,1
ID_train_10585,4
ID_train_10586,4
ID_train_10587,0
ID_train_10588,2
ID_train_10589,0
ID_train_1059,4
ID_train_10590,1
ID_train_10591,1
ID_train_10592,4
ID_train_10593,2
ID_train_10594,3
ID_train_10595,2
ID_train_10596,0
ID_train_10597,2
ID_train_10598,4
ID_train_10599,2
ID_train_106,3
ID_train_1060,3
ID_train_10600,2
ID_train_10601,1
ID_train_10602,4
ID_train_10603,3
ID_train_10604,4
ID_train_10605,1
ID_train_10606,3
ID_train_10607,4
ID_train_10608,4
ID_train_10609,3
ID_train_1061,3
ID_train_10610,1
ID_train_10611,0
ID_train_10612,3
ID_train_10613,4
ID_train_10614,4
ID_train_10615,2
ID_train_10616,2
ID_train_10617,3
ID_train_10618,0
ID_train_10619,3
ID_train_1062,4
ID_train_10620,2
ID_train_10621,4
ID_train_10622,3
ID_train_10623,1
ID_train_10624,0
ID_train_10625,0
ID_train_10626,1
ID_train_10627,2
ID_train_10628,3
ID_train_10629,0
ID_train_1063,0
ID_train_10630,3
ID_train_10631,0
ID_train_10632,3
ID_train_10633,4
ID_train_10634,0
ID_train_10635,4
ID_train_10636,2
ID_train_10637,3
ID_train_10638,4
ID_train_10639,0
ID_train_1064,0
ID_train_10640,2
ID_train_10641,2
ID_train_10642,3
ID_train_10643,4
ID_train_10644,0
ID_train_10645,3
ID_train_10646,4
ID_train_10647,4
ID_train_10648,1
ID_train_10649,2
ID_train_1065,4
ID_train_10650,4
ID_train_10651,0
ID_train_10652,1
ID_train_10653,3
ID_train_10654,1
ID_train_10655,2
ID_train_10656,1
ID_train_10657,0
ID_train_10658,1
ID_train_10659,0
ID_train_1066,2
ID_train_10660,1
ID_train_10661,4
ID_train_10662,3
ID_train_10663,0
ID_train_10664,0
ID_train_10665,2
ID_train_10666,0
ID_train_10667,2
ID_train_10668,2
ID_train_10669,2
ID_train_1067,1
ID_train_10670,1
ID_train_10671,2
ID_train_10672,4
ID_train_10673,2
ID_train_10674,1
ID_train_10675,0
ID_train_10676,3
ID_train_10677,3
ID_train_10678,2
ID_train_10679,3
ID_train_1068,4
ID_train_10680,4
ID_train_10681,4
ID_train_10682,0
ID_train_10683,0
ID_train_10684,2
ID_train_10685,1
ID_train_10686,3
ID_train_10687,0
ID_train_10688,3
ID_train_10689,3
ID_train_1069,4
ID_train_10690,3
ID_train_10691,2
ID_train_10692,3
ID_train_10693,3
ID_train_10694,2
ID_train_10695,3
ID_train_10696,0
ID_train_10697,2
ID_train_10698,0
ID_train_10699,4
ID_train_107,1
ID_train_1070,0
ID_train_10700,1
ID_train_10701,4
ID_train_10702,2
ID_train_10703,3
ID_train_10704,0
ID_train_10705,3
ID_train_10706,3
ID_train_10707,3
ID_train_10708,1
ID_train_10709,3
ID_train_1071,1
ID_train_10710,3
ID_train_10711,2
ID_train_10712,4
ID_train_10713,3
ID_train_10714,0
ID_train_10715,0
ID_train_10716,3
ID_train_10717,4
ID_train_10718,4
ID_train_10719,1
ID_train_1072,1
ID_train_10720,3
ID_train_10721,1
ID_train_10722,0
ID_train_10723,1
ID_train_10724,2
ID_train_10725,1
ID_train_10726,2
ID_train_10727,1
ID_train_10728,3
ID_train_10729,0
ID_train_1073,0
ID_train_10730,2
ID_train_10731,1
ID_train_10732,4
ID_train_10733,1
ID_train_10734,0
ID_train_10735,0
ID_train_10736,2
ID_train_10737,0
ID_train_10738,1
ID_train_10739,2
ID_train_1074,2
ID_train_10740,4
ID_train_10741,4
ID_train_10742,2
ID_train_10743,1
ID_train_10744,0
ID_train_10745,3
ID_train_10746,4
ID_train_10747,2
ID_train_10748,4
ID_train_10749,3
ID_train_1075,2
ID_train_10750,4
ID_train_10751,0
ID_train_10752,4
ID_train_10753,1
ID_train_10754,4
ID_train_10755,1
ID_train_10756,1
ID_train_10757,3
ID_train_10758,3
ID_train_10759,1
ID_train_1076,0
ID_train_10760,0
ID_train_10761,4
ID_train_10762,2
ID_train_10763,0
ID_train_10764,0
ID_train_10765,4
ID_train_10766,0
ID_train_10767,3
ID_train_10768,0
ID_train_10769,0
ID_train_1077,4
ID_train_10770,3
ID_train_10771,0
ID_train_10772,1
ID_train_10773,1
ID_train_10774,2
ID_train_10775,2
ID_train_10776,3
ID_train_10777,1
ID_train_10778,2
ID_train_10779,4
ID_train_1078,2
ID_train_10780,4
ID_train_10781,4
ID_train_10782,4
ID_train_10783,4
ID_train_10784,2
ID_train_10785,0
ID_train_10786,0
ID_train_10787,4
ID_train_10788,0
ID_train_10789,0
ID_train_1079,0
ID_train_10790,3
ID_train_10791,0
ID_train_10792,4
ID_train_10793,2
ID_train_10794,2
ID_train_10795,1
ID_train_10796,3
ID_train_10797,4
ID_train_10798,0
ID_train_10799,2
ID_train_108,4
ID_train_1080,1
ID_train_10800,4
ID_train_10801,3
ID_train_10802,2
ID_train_10803,3
ID_train_10804,3
ID_train_10805,3
ID_train_10806,4
ID_train_10807,2
ID_train_10808,4
ID_train_10809,2
ID_train_1081,3
ID_train_10810,1
ID_train_10811,4
ID_train_10812,2
ID_train_10813,0
ID_train_10814,2
ID_train_10815,3
ID_train_10816,3
ID_train_10817,4
ID_train_10818,3
ID_train_10819,4
ID_train_1082,0
ID_train_10820,3
ID_train_10821,2
ID_train_10822,4
ID_train_10823,0
ID_train_10824,2
ID_train_10825,4
ID_train_10826,0
ID_train_10827,0
ID_train_10828,1
ID_train_10829,1
ID_train_1083,2
ID_train_10830,0
ID_train_10831,1
ID_train_10832,2
ID_train_10833,2
ID_train_10834,3
ID_train_10835,4
ID_train_10836,0
ID_train_10837,3
ID_train_10838,4
ID_train_10839,3
ID_train_1084,2
ID_train_10840,2
ID_train_10841,0
ID_train_10842,1
ID_train_10843,3
ID_train_10844,1
ID_train_10845,1
ID_train_10846,2
ID_train_10847,2
ID_train_10848,3
ID_train_10849,0
ID_train_1085,1
ID_train_10850,3
ID_train_10851,1
ID_train_10852,1
ID_train_10853,3
ID_train_10854,4
ID_train_10855,2
ID_train_10856,3
ID_train_10857,1
ID_train_10858,1
ID_train_10859,4
ID_train_1086,1
ID_train_10860,4
ID_train_10861,2
ID_train_10862,4
ID_train_10863,4
ID_train_10864,1
ID_train_10865,3
ID_train_10866,4
ID_train_10867,4
ID_train_10868,2
ID_train_10869,4
ID_train_1087,3
ID_train_10870,0
ID_train_10871,1
ID_train_10872,4
ID_train_10873,4
ID_train_10874,2
ID_train_10875,2
ID_train_10876,2
ID_train_10877,4
ID_train_10878,2
ID_train_10879,4
ID_train_1088,2
ID_train_10880,0
ID_train_10881,3
ID_train_10882,2
ID_train_10883,0
ID_train_10884,4
ID_train_10885,0
ID_train_10886,4
ID_train_10887,4
ID_train_10888,2
ID_train_10889,0
ID_train_1089,3
ID_train_10890,2
ID_train_10891,3
ID_train_10892,3
ID_train_10893,4
ID_train_10894,3
ID_train_10895,3
ID_train_10896,4
ID_train_10897,4
ID_train_10898,4
ID_train_10899,1
ID_train_109,3
ID_train_1090,0
ID_train_10900,4
ID_train_10901,0
ID_train_10902,0
ID_train_10903,4
ID_train_10904,0
ID_train_10905,1
ID_train_10906,2
ID_train_10907,0
ID_train_10908,0
ID_train_10909,0
ID_train_1091,0
ID_train_10910,3
ID_train_10911,0
ID_train_10912,1
ID_train_10913,3
ID_train_10914,3
ID_train_10915,2
ID_train_10916,3
ID_train_10917,1
ID_train_10918,1
ID_train_10919,3
ID_train_1092,0
ID_train_10920,3
ID_train_10921,4
ID_train_10922,4
ID_train_10923,3
ID_train_10924,2
ID_train_10925,0
ID_train_10926,1
ID_train_10927,1
ID_train_10928,0
ID_train_10929,3
ID_train_1093,3
ID_train_10930,1
ID_train_10931,2
ID_train_10932,4
ID_train_10933,4
ID_train_10934,0
ID_train_10935,2
ID_train_10936,1
ID_train_10937,2
ID_train_10938,4
ID_train_10939,1
ID_train_1094,3
ID_train_10940,1
ID_train_10941,1
ID_train_10942,1
ID_train_10943,3
ID_train_10944,1
ID_train_10945,0
ID_train_10946,4
ID_train_10947,4
ID_train_10948,0
ID_train_10949,0
ID_train_1095,3
ID_train_10950,0
ID_train_10951,4
ID_train_10952,2
ID_train_10953,3
ID_train_10954,4
ID_train_10955,0
ID_train_10956,4
ID_train_10957,2
ID_train_10958,4
ID_train_10959,4
ID_train_1096,1
ID_train_10960,1
ID_train_10961,0
ID_train_10962,3
ID_train_10963,3
ID_train_10964,1
ID_train_10965,3
ID_train_10966,1
ID_train_10967,0
ID_train_10968,3
ID_train_10969,1
ID_train_1097,4
ID_train_10970,2
ID_train_10971,0
ID_train_10972,2
ID_train_10973,1
ID_train_10974,3
ID_train_10975,1
ID_train_10976,2
ID_train_10977,2
ID_train_10978,4
ID_train_10979,1
ID_train_1098,1
ID_train_10980,2
ID_train_10981,3
ID_train_10982,1
ID_train_10983,1
ID_train_10984,1
ID_train_10985,3
ID_train_10986,0
ID_train_10987,4
ID_train_10988,3
ID_train_10989,0
ID_train_1099,2
ID_train_10990,1
ID_train_10991,3
ID_train_10992,3
ID_train_10993,4
ID_train_10994,3
ID_train_10995,0
ID_train_10996,0
ID_train_10997,3
ID_train_10998,3
ID_train_10999,1
ID_train_11,3
ID_train_110,2
ID_train_1100,3
ID_train_11000,4
ID_train_11001,4
ID_train_11002,0
ID_train_11003,4
ID_train_11004,1
ID_train_11005,0
ID_train_11006,1
ID_train_11007,2
ID_train_11008,0
ID_train_11009,2
ID_train_1101,2
ID_train_11010,1
ID_train_11011,4
ID_train_11012,0
ID_train_11013,1
ID_train_11014,4
ID_train_11015,2
ID_train_11016,2
ID_train_11017,0
ID_train_11018,3
ID_train_11019,2
ID_train_1102,4
ID_train_11020,3
ID_train_11021,1
ID_train_11022,1
ID_train_11023,2
ID_train_11024,1
ID_train_11025,2
ID_train_11026,4
ID_train_11027,3
ID_train_11028,3
ID_train_11029,4
ID_train_1103,3
ID_train_11030,1
ID_train_11031,0
ID_train_11032,4
ID_train_11033,0
ID_train_11034,0
ID_train_11035,1
ID_train_11036,2
ID_train_11037,1
ID_train_11038,4
ID_train_11039,4
ID_train_1104,2
ID_train_11040,1
ID_train_11041,3
ID_train_11042,4
ID_train_11043,2
ID_train_11044,2
ID_train_11045,2
ID_train_11046,2
ID_train_11047,0
ID_train_11048,0
ID_train_11049,3
ID_train_1105,3
ID_train_11050,2
ID_train_11051,0
ID_train_11052,3
ID_train_11053,2
ID_train_11054,0
ID_train_11055,1
ID_train_11056,0
ID_train_11057,4
ID_train_11058,1
ID_train_11059,0
ID_train_1106,3
ID_train_11060,0
ID_train_11061,4
ID_train_11062,0
ID_train_11063,4
ID_train_11064,4
ID_train_11065,3
ID_train_11066,2
ID_train_11067,3
ID_train_11068,1
ID_train_11069,3
ID_train_1107,1
ID_train_11070,4
ID_train_11071,3
ID_train_11072,1
ID_train_11073,1
ID_train_11074,0
ID_train_11075,0
ID_train_11076,0
ID_train_11077,2
ID_train_11078,3
ID_train_11079,2
ID_train_1108,3
ID_train_11080,0
ID_train_11081,3
ID_train_11082,2
ID_train_11083,2
ID_train_11084,2
ID_train_11085,3
ID_train_11086,3
ID_train_11087,3
ID_train_11088,2
ID_train_11089,4
ID_train_1109,0
ID_train_11090,2
ID_train_11091,0
ID_train_11092,3
ID_train_11093,1
ID_train_11094,0
ID_train_11095,3
ID_train_11096,0
ID_train_11097,2
ID_train_11098,1
ID_train_11099,0
ID_train_111,0
ID_train_1110,3
ID_train_11100,1
ID_train_11101,2
ID_train_11102,1
ID_train_11103,1
ID_train_11104,0
ID_train_11105,4
ID_train_11106,4
ID_train_11107,0
ID_train_11108,2
ID_train_11109,1
ID_train_1111,3
ID_train_11110,3
ID_train_11111,4
ID_train_11112,1
ID_train_11113,3
ID_train_11114,1
ID_train_11115,2
ID_train_11116,1
ID_train_11117,4
ID_train_11118,0
ID_train_11119,2
ID_train_1112,1
ID_train_11120,1
ID_train_11121,1
ID_train_11122,0
ID_train_11123,1
ID_train_11124,1
ID_train_11125,1
ID_train_11126,3
ID_train_11127,0
ID_train_11128,2
ID_train_11129,3
ID_train_1113,4
ID_train_11130,1
ID_train_11131,0
ID_train_11132,3
ID_train_11133,4
ID_train_11134,3
ID_train_11135,2
ID_train_11136,2
ID_train_11137,2
ID_train_11138,4
ID_train_11139,2
ID_train_1114,1
ID_train_11140,3
ID_train_11141,3
ID_train_11142,4
ID_train_11143,1
ID_train_11144,3
ID_train_11145,4
ID_train_11146,0
ID_train_11147,2
ID_train_11148,1
ID_train_11149,1
ID_train_1115,4
ID_train_11150,4
ID_train_11151,3
ID_train_11152,3
ID_train_11153,1
ID_train_11154,1
ID_train_11155,3
ID_train_11156,4
ID_train_11157,0
ID_train_11158,1
ID_train_11159,2
ID_train_1116,3
ID_train_11160,2
ID_train_11161,1
ID_train_11162,4
ID_train_11163,3
ID_train_11164,0
ID_train_11165,1
ID_train_11166,0
ID_train_11167,4
ID_train_11168,3
ID_train_11169,0
ID_train_1117,4
ID_train_11170,3
ID_train_11171,2
ID_train_11172,0
ID_train_11173,2
ID_train_11174,2
ID_train_11175,3
ID_train_11176,0
ID_train_11177,4
ID_train_11178,2
ID_train_11179,3
ID_train_1118,0
ID_train_11180,3
ID_train_11181,2
ID_train_11182,2
ID_train_11183,1
ID_train_11184,1
ID_train_11185,2
ID_train_11186,3
ID_train_11187,3
ID_train_11188,3
ID_train_11189,3
ID_train_1119,4
ID_train_11190,2
ID_train_11191,3
ID_train_11192,0
ID_train_11193,1
ID_train_11194,0
ID_train_11195,0
ID_train_11196,3
ID_train_11197,1
ID_train_11198,2
ID_train_11199,3
ID_train_112,1
ID_train_1120,3
ID_train_11200,4
ID_train_11201,2
ID_train_11202,0
ID_train_11203,2
ID_train_11204,2
ID_train_11205,0
ID_train_11206,3
ID_train_11207,0
ID_train_11208,2
ID_train_11209,2
ID_train_1121,0
ID_train_11210,1
ID_train_11211,4
ID_train_11212,4
ID_train_11213,4
ID_train_11214,2
ID_train_11215,1
ID_train_11216,1
ID_train_11217,0
ID_train_11218,3
ID_train_11219,1
ID_train_1122,4
ID_train_11220,0
ID_train_11221,3
ID_train_11222,3
ID_train_11223,3
ID_train_11224,1
ID_train_11225,0
ID_train_11226,1
ID_train_11227,2
ID_train_11228,0
ID_train_11229,2
ID_train_1123,3
ID_train_11230,4
ID_train_11231,0
ID_train_11232,3
ID_train_11233,2
ID_train_11234,2
ID_train_11235,4
ID_train_11236,4
ID_train_11237,2
ID_train_11238,3
ID_train_11239,0
ID_train_1124,4
ID_train_11240,2
ID_train_11241,3
ID_train_11242,2
ID_train_11243,1
ID_train_11244,4
ID_train_11245,4
ID_train_11246,0
ID_train_11247,4
ID_train_11248,1
ID_train_11249,4
ID_train_1125,1
ID_train_11250,2
ID_train_11251,0
ID_train_11252,2
ID_train_11253,4
ID_train_11254,1
ID_train_11255,4
ID_train_11256,1
